MUN;Regiao;UF;Cidade;Nome;Site;Fase;Ano;Gestora;Público;Universidade;Contato;End;CEP
4209102;Sul;SC;Joinville;Parque Tecnológico Norte Catarinense;https://inovaparq.com.br/sobre/;Projeto;2002;Fundação Softville;0;0;47-3422.7077;;
1703826;Sul;RS;Cachoeirinha;Parque Tecnológico do CIENTEC;https://parquecientec.usp.br/;Projeto;2003;Cientec-Fundação de Ciência e Tecnologia;0;0;51-3287.2094/2030;Av.das Indústrias,2270;94930360
4310207;Sul;RS;Ijuí;Pólo Tecnológico do Noroeste Gaúcho;;Projeto;2005;UNIJUI - Universidade Regional do Noroeste do Estado do Rio Grande do Sul;0;1;55-3332-3306;Rua 15 de Novembro, 321, salas 501, 503 e 504;98700000
4202404;Sul;SC;Blumenau;Participa do Programa de Centros de Inovação do Governo de Santa Catarina;;Projeto;2005;Prefeitura de Blumenau;1;0;47-3323.6709;;
4314407;Sul;RS;Pelotas;Parque Tecnológico de Pelotas - TECNOSUL;http://pelotasparquetecnologico.com.br/;Projeto;2010;Prefeitura Municipal de Pelotas;1;0;;Av. Domingos de Almeida, 1785 - Areal, Pelotas - Rio Grande do Sul;
4106407;Sul;PR;Cornélio Procópio;Parque Tecnológico do norte do Paraná-PTNP;;Projeto;2011;Universidade Tecnológica Federal do Paraná;1;1;43-3520-4003;Av. Alberto Carazzai, 1640 Centro;86300000
4202404;Sul;SC;Blumenau;Bianchini Business Park;https://www.bianchinibusinesspark.com.br/;Projeto;2013;;;;47 - 33262982;Rua Dr. Pedro Zimmermann, 3245;89068001
4300406;Sul;RS;Alegrete;Parque Científico e Tecnológico do PAMPA - PAMPATEC;https://sites.unipampa.edu.br/pampatec/;Projeto;2013;Universidade Federal do Pampa - UNIPAMPA;1;1;55 - 34218417;Av. Tiarajú, 1406, Bairro Ibirapuâ;97546550
4301602;Sul;RS;Bagé;Parque Científico e Tecnológico de Campanha;;Projeto;2015;Fundação Universidee Federal do PAMPA -UNIPAMPA;1;1;53-3240-5406;Rua General Osório, 900 - Bairro - Centro;9600590
4115804;Sul;PR;Medianeira;Parque cientifico e Tecnológico de Medianeira;;Projeto;2015;Prefeitura Municipal;1;0;;;
4304606;Sul;RS;Canoas;Parque Canoas de Inovação - PCI;https://www.canoas.rs.gov.br/pci/;Projeto;2018;Centro Universitário La Salle - UNILASALLE;0;1;51-3476-8507/3465.7333 / 34653933;Bairro Guajuviras, Canoas;
4205407;Sul;SC;Florianópolis;FloripaTec Parque;;Projeto;;Associação Catarinense de Empresas de Tecnologia;0;0;;;
3550308;Sudeste;SP;São Paulo;Parque Tecnologico São Paulo - Jaguaré;https://www.cideu.org/proyecto/parque-tecnologico-sao-paulo-jaguare;Projeto;2019;;;;11 3718 6632;;
