"ANO";"Componente";"P_Explicado";"Base"
2004;"comp 61";0,0940762636120002;1
2004;"comp 62";0,0876781472251891;1
2004;"comp 63";0,0804634285610768;1
2004;"comp 64";0,0765274753722142;1
2004;"comp 65";0,0738327862093366;1
2004;"comp 66";0,0722174114320372;1
2004;"comp 67";0,0667673712553493;1
2004;"comp 68";0,0603284404381461;1
2004;"comp 69";0,0567303836869034;1
2004;"comp 70";0,0525786548840122;1
2004;"comp 71";0,0495507525045502;1
2004;"comp 72";0,046362517592946;1
2004;"comp 73";0,0448417599582076;1
2004;"comp 74";0,0396040342606868;1
2004;"comp 75";0,0389689085939245;1
2004;"comp 76";0,0349772367854208;1
2004;"comp 77";0,0332512010305628;1
2004;"comp 78";0,0280698262433767;1
2004;"comp 79";0,0246608350064746;1
2004;"comp 80";0,0230761088057906;1
2004;"comp 81";0,022894464953869;1
2004;"comp 82";0,0171352685872436;1
2004;"comp 83";0,0164092701351346;1
2004;"comp 84";0,0152544059992326;1
2005;"comp 1";48,5634467673927;1
2005;"comp 2";6,05518524546087;1
2005;"comp 3";5,77465030163753;1
2005;"comp 4";3,65515059070638;1
2005;"comp 5";2,804594124486;1
2005;"comp 6";2,5936550946705;1
2005;"comp 7";2,04428896122491;1
2005;"comp 8";1,81501743038154;1
2005;"comp 9";1,55337352045536;1
2005;"comp 10";1,44663717289154;1
2005;"comp 11";1,33068525896811;1
2005;"comp 12";1,22512468823027;1
2005;"comp 13";1,06174346289477;1
2005;"comp 14";1,0549756934649;1
2005;"comp 15";0,96692415978668;1
2005;"comp 16";0,948146109209465;1
2005;"comp 17";0,850708371360541;1
2005;"comp 18";0,837537357229808;1
2005;"comp 19";0,7874666092358;1
2005;"comp 20";0,777837868724651;1
2005;"comp 21";0,737791765408152;1
2005;"comp 22";0,714270799232236;1
2005;"comp 23";0,641379525297027;1
2005;"comp 24";0,604047851260864;1
2005;"comp 25";0,593867041174398;1
2005;"comp 26";0,544007980241462;1
2005;"comp 27";0,521956773163072;1
2005;"comp 28";0,516732271787522;1
2005;"comp 29";0,479037174022595;1
2005;"comp 30";0,454479692199338;1
2005;"comp 31";0,437169518958327;1
2005;"comp 32";0,424021747792651;1
2005;"comp 33";0,394880680304152;1
2005;"comp 34";0,358150114085961;1
2005;"comp 35";0,351486487971163;1
2005;"comp 36";0,338550095740049;1
2005;"comp 37";0,314418902613552;1
2005;"comp 38";0,301176798781359;1
2005;"comp 39";0,293627767941745;1
2005;"comp 40";0,258338207146279;1
2005;"comp 41";0,253468297176135;1
2005;"comp 42";0,23848206488777;1
2005;"comp 43";0,2320332383839;1
2005;"comp 44";0,219222468024051;1
2005;"comp 45";0,212734641222341;1
2005;"comp 46";0,191111176415039;1
2005;"comp 47";0,183408640321879;1
2005;"comp 48";0,181229552508119;1
2005;"comp 49";0,177055760137433;1
2005;"comp 50";0,163925393203329;1
2005;"comp 51";0,157749571258278;1
2005;"comp 52";0,153038128878268;1
2005;"comp 53";0,146596721292938;1
2005;"comp 54";0,140217852988764;1
2005;"comp 55";0,133859618482053;1
2005;"comp 56";0,132094826000478;1
2005;"comp 57";0,122544470914073;1
2005;"comp 58";0,120184703369604;1
2005;"comp 59";0,115584979439241;1
2005;"comp 60";0,107201988805094;1
2005;"comp 61";0,100093501653568;1
2005;"comp 62";0,0950252328962694;1
2005;"comp 63";0,0856316128263182;1
2005;"comp 64";0,0838203064559295;1
2005;"comp 65";0,0802944507409056;1
2005;"comp 66";0,076891798964976;1
2005;"comp 67";0,0662487200321017;1
2005;"comp 68";0,0659259869721164;1
2005;"comp 69";0,0574251550579225;1
2005;"comp 70";0,0539319615967527;1
2005;"comp 71";0,0470399366194717;1
2005;"comp 72";0,0457063898986579;1
2005;"comp 73";0,0423879240890755;1
2005;"comp 74";0,0399271270125983;1
2005;"comp 75";0,0366491833892141;1
2005;"comp 76";0,0345589970284532;1
2005;"comp 77";0,0315480120705339;1
2005;"comp 78";0,0295539311664251;1
2005;"comp 79";0,025585542625603;1
2005;"comp 80";0,0238737569683413;1
2005;"comp 81";0,0215517735526946;1
2005;"comp 82";0,0188017748387965;1
2005;"comp 83";0,0155662548580569;1
2005;"comp 84";0,0136765914422084;1
2006;"comp 1";48,9877046000646;1
2006;"comp 2";6,07706643952798;1
2006;"comp 3";5,14304170421024;1
2006;"comp 4";3,10989216935362;1
2006;"comp 5";2,98072483822979;1
2006;"comp 6";2,30625327597522;1
2006;"comp 7";1,96165961551716;1
2006;"comp 8";1,8044098054049;1
2006;"comp 9";1,6369545931382;1
2006;"comp 10";1,42195984369223;1
2006;"comp 11";1,36098427451543;1
2006;"comp 12";1,24219394575808;1
2006;"comp 13";1,15319816396425;1
2006;"comp 14";1,09783834749179;1
2006;"comp 15";1,01573977247099;1
2006;"comp 16";0,982384785242327;1
2006;"comp 17";0,924870407175188;1
2006;"comp 18";0,899981195216649;1
2006;"comp 19";0,79436048074813;1
2006;"comp 20";0,754666167238143;1
2006;"comp 21";0,709937684006404;1
2006;"comp 22";0,673455373382758;1
2006;"comp 23";0,650445001183933;1
2006;"comp 24";0,612018258336703;1
2006;"comp 25";0,584705860451357;1
2006;"comp 26";0,573695055286698;1
2006;"comp 27";0,542854593208641;1
2006;"comp 28";0,531530861354001;1
2006;"comp 29";0,513560502271877;1
2006;"comp 30";0,481911889432785;1
2006;"comp 31";0,464729357356128;1
2006;"comp 32";0,448600156370904;1
2006;"comp 33";0,431155256890819;1
2006;"comp 34";0,397610301672236;1
2006;"comp 35";0,377348308395849;1
2006;"comp 36";0,353865409244625;1
2006;"comp 37";0,344915173753744;1
2006;"comp 38";0,315729136049052;1
2006;"comp 39";0,298459928517798;1
2006;"comp 40";0,283188912784911;1
2006;"comp 41";0,271719339392651;1
2006;"comp 42";0,265565230250042;1
2006;"comp 43";0,258075738499052;1
2006;"comp 44";0,245638098041962;1
