"Variável";"Ano";"Fator1";"Fator2";"Fator3";"Base"
"QL_CNAE_G.6";2003;0,375098017044164;-0,19152289420953;0,133756901085639;1
"QL_CNAE_G.60";2003;0,446925021923798;0,517288618443258;0,444028732037501;1
"QL_CNAE_G.61";2003;0,613665206702924;0,39227345909672;0,208105020159002;1
"QL_CNAE_G.62";2003;0,492921377779646;0,118310600080405;-0,201273000136759;1
"QL_CNAE_G.63";2003;0,449041939078826;-0,292180844773097;-0,434376234184859;1
"QL_CNAE_G.64";2003;0,43967688334455;0,228333822812777;0,533938421910252;1
"QL_CNAE_G.65";2003;0,550343167758817;0,312491818851074;0,0161477054732477;1
"QL_CNAE_G.66";2003;0,552490098806584;0,440839407858239;0,0144536931492525;1
"QL_CNAE_G.68";2003;0,35187666153917;0,151055211830597;0,0398038401321883;1
"QL_CNAE_G.69";2003;0,284188671304605;0,178318776713948;0,578381165246807;1
"QL_CNAE_G.7";2003;0,458641658952447;-0,300470658694839;0,0916637876788595;1
"QL_CNAE_G.70";2003;0,620801484318215;0,350019462265866;-0,0757169678318929;1
"QL_CNAE_G.71";2003;0,410314005844176;-0,326325959266313;-0,461736262687257;1
"QL_CNAE_G.72";2003;0,443604783371652;-0,151119233847516;0,307675415283409;1
"QL_CNAE_G.73";2003;0,484109476073052;-0,283792374420523;-0,380726845577295;1
"QL_CNAE_G.74";2003;0,448354810804865;-0,289602533544406;-0,460359579293554;1
"QL_CNAE_G.75";2003;0,518396424121867;0,237750867504959;0,0445985948939918;1
"QL_CNAE_G.77";2003;0,366606621592805;0,177279599524926;0,0501727525064494;1
"QL_CNAE_G.78";2003;0,425194180296641;0,0755691115126474;-0,210044204704735;1
"QL_CNAE_G.79";2003;0,547970417270824;0,456299383807593;0,0400357778420604;1
"QL_CNAE_G.8";2003;0,0973317978007799;0,0221260049831275;0,102076266429106;1
"QL_CNAE_G.80";2003;0,546148338261068;0,177913615855801;-0,176738700348232;1
"QL_CNAE_G.81";2003;0,409806389331384;-0,216382725882422;-0,127766997268758;1
"QL_CNAE_G.82";2003;0,437429603704349;-0,292655729562376;-0,446500301631929;1
"QL_CNAE_G.84";2003;0,0652990679445559;-0,547428360810953;0,490683657969744;1
"QL_CNAE_G.85";2003;0,136368543123365;0,545154742307475;0,536628822834073;1
"QL_CNAE_G.86";2003;0,309797951909614;0,510134971923514;0,473967610899;1
"QL_CNAE_G.87";2003;0,251682204498684;0,324025180821938;0,646209143541778;1
"QL_CNAE_G.88";2003;0,497964104510204;0,489566460332244;0,3010904640255;1
"QL_CNAE_G.9";2003;0,124290323079387;0,0197155061981507;-0,0268633714796555;1
"QL_CNAE_G.90";2003;0,588427176454108;0,351630798275051;-0,0210931015976198;1
"QL_CNAE_G.91";2003;0,494482882349296;-0,127404044071061;0,0897684758127788;1
"QL_CNAE_G.92";2003;0,261790461790895;0,336619100164899;0,55249959954419;1
"QL_CNAE_G.93";2003;0,250552091280285;0,318206095902129;0,549718893535853;1
"QL_CNAE_G.94";2003;0,246765823836779;0,066444623154466;0,452102615183062;1
"QL_CNAE_G.95";2003;0,391395137744073;0,396578528846435;0,0657623649040965;1
"QL_CNAE_G.96";2003;0,522507056154487;0,450551467628517;0,318912614577319;1
"QL_CNAE_G.97";2003;0,17970437990227;0,251265627476697;0,112422308313445;1
"QL_CNAE_G.99";2003;0,605091755404353;-0,296313998536806;0,105062383128663;1
"Emp_CNAE_G.1";2003;2,49030574635054e-16;2,69323280912601e-16;-2,43733231212881e-16;1
"Emp_CNAE_G.10";2003;0,909461484651046;0,143608311385402;0,169064818654943;1
"Emp_CNAE_G.11";2003;0,628017344792367;0,239828817762652;-0,189059955979563;1
"Emp_CNAE_G.12";2003;0,520701270787959;-0,0653396411860089;0,188887972936667;1
"Emp_CNAE_G.13";2003;0,865104630843232;0,146646244925154;-0,154651429124874;1
"Emp_CNAE_G.14";2003;0,907421006171912;0,12842071759087;-0,0182704637503681;1
"Emp_CNAE_G.15";2003;0,69487572492142;0,0783528940622061;-0,169535317072191;1
"Emp_CNAE_G.16";2003;0,746468533848535;0,195005597337902;0,0377552624659967;1
"Emp_CNAE_G.17";2003;0,947750435294247;-0,00663989035026504;-0,15401098299794;1
"Emp_CNAE_G.18";2003;0,967990573318308;0,0252855818148515;-0,0177814997362771;1
"Emp_CNAE_G.19";2003;0,678568848816953;-0,209353613535035;0,135159469321087;1
"Emp_CNAE_G.2";2003;0,596026994972907;-0,19470301381094;0,10511787127936;1
"Emp_CNAE_G.20";2003;0,912475807506902;0,114367486836481;-0,181647244901849;1
"Emp_CNAE_G.21";2003;0,806291630242248;-0,14149477956696;-0,0598106405802211;1
"Emp_CNAE_G.22";2003;0,867768190495417;0,17308455134114;-0,308756530270788;1
"Emp_CNAE_G.23";2003;0,886923898978535;0,150348711114472;-0,122746724410716;1
"Emp_CNAE_G.24";2003;0,822233346880169;0,0191506504719233;-0,321619193942752;1
"Emp_CNAE_G.25";2003;0,869347506081335;0,129647612678012;-0,270691691104269;1
"Emp_CNAE_G.26";2003;0,889392583235422;-0,0336735997967568;-0,178216696134656;1
"Emp_CNAE_G.27";2003;0,844880347805404;0,0595268166129905;-0,268357049499998;1
"Emp_CNAE_G.28";2003;0,838213288627887;0,110733353621857;-0,326302973012784;1
"Emp_CNAE_G.29";2003;0,826951549662912;0,0331032568901034;-0,216327717229629;1
"Emp_CNAE_G.3";2003;0;0;0;1
"Emp_CNAE_G.30";2003;0,900142694438185;0,0779228519769714;-0,176322559205608;1
"Emp_CNAE_G.31";2003;0,898368941269081;0,157236604198922;-0,113696029029715;1
"Emp_CNAE_G.32";2003;0,891835876253222;0,155527547951745;-0,26418501685938;1
"Emp_CNAE_G.33";2003;0,944993826301106;0,114384744605917;-0,195575211734916;1
"Emp_CNAE_G.35";2003;0,66872392456475;-0,214763473662098;0,181993631324838;1
"Emp_CNAE_G.36";2003;0,87277121181359;-0,0635129056103931;-0,0387367936007872;1
"Emp_CNAE_G.37";2003;0,878571149251219;-0,0457778805145344;-0,0506260707711243;1
"Emp_CNAE_G.38";2003;0,911306087550075;0,0826769713142182;-0,138153575619444;1
"Emp_CNAE_G.39";2003;0,885544299274187;-0,108336825145652;-0,0338965436979141;1
"Emp_CNAE_G.41";2003;0,962979981943393;-0,0246555106416782;0,133445202343244;1
"Emp_CNAE_G.42";2003;0,958617060163313;-0,0640338356459705;0,125449086335778;1
"Emp_CNAE_G.43";2003;0,971069533911217;-0,0538670662166275;0,0677193077115553;1
"Emp_CNAE_G.45";2003;0,954611639768855;0,0428227373351118;0,047631646345581;1
"Emp_CNAE_G.46";2003;0,955454279307361;0,0333255653558692;-0,00198781680797718;1
"Emp_CNAE_G.47";2003;0,970322587193557;-0,0253958500411262;0,0955686104138875;1
"Emp_CNAE_G.49";2003;0,911940987002195;0,117767370793294;-0,0860941883638387;1
"Emp_CNAE_G.5";2003;0,368172199939874;-0,130226777904905;0,0832859175987232;1
"Emp_CNAE_G.50";2003;0,55991396041159;-0,368213106254344;0,226057405370723;1
"Emp_CNAE_G.51";2003;0,830761879926991;-0,247654416384993;0,108998530477064;1
"Emp_CNAE_G.52";2003;0,947344747170074;-0,0686551034643495;-0,0114865905019615;1
"Emp_CNAE_G.53";2003;0,964404755525479;-0,115695110935311;-0,0286803866717392;1
"Emp_CNAE_G.55";2003;0,888292532436601;-0,0263185937735705;0,263387444729145;1
"Emp_CNAE_G.56";2003;0,949764066718006;-0,0134475178249824;0,0319789939075109;1
"Emp_CNAE_G.58";2003;0,954921321581069;-0,0854602149956667;0,0202807109226594;1
"Emp_CNAE_G.59";2003;0,931378723736118;-0,121369007620474;0,108312721295673;1
"Emp_CNAE_G.6";2003;0,495293088724032;-0,32692310170189;0,201139677929553;1
"Emp_CNAE_G.60";2003;0,916386105916915;-0,0371677911431404;0,218837103782294;1
"Emp_CNAE_G.61";2003;0,909589519948503;-0,00342531883636694;0,0807251101801671;1
"Emp_CNAE_G.62";2003;0,94327297985731;-0,054997928122466;-0,127962077897756;1
"Emp_CNAE_G.63";2003;0,971371334092897;-0,066226930111222;-0,0958587745514936;1
"Emp_CNAE_G.64";2003;0,968934360140429;0,0392663011559988;0,00401763825486621;1
"Emp_CNAE_G.65";2003;0,9560105286842;0,00851892384503898;0,0314833285939903;1
"Emp_CNAE_G.66";2003;0,952354908407652;-0,00330631545104493;-0,000520301047303688;1
"Emp_CNAE_G.68";2003;0,951900668421056;-0,0562768366597727;-0,0439096210203464;1
"Emp_CNAE_G.69";2003;0,978587495038596;-0,0317042967625816;0,11087852634516;1
"Emp_CNAE_G.7";2003;0,631179628843039;-0,39134910910728;0,142185162820774;1
"Emp_CNAE_G.70";2003;0,950636169672823;-0,0838289813593564;-0,0783159211889978;1
"Emp_CNAE_G.71";2003;0,975999305730523;-0,0853646336648521;-0,073785563176211;1
"Emp_CNAE_G.72";2003;0,870027833808292;-0,266611020207458;0,17293485589305;1
"Emp_CNAE_G.73";2003;0,978581915510496;-0,0572413914000533;-0,0682452983202869;1
"Emp_CNAE_G.74";2003;0,972670085328451;-0,0705852717869857;-0,091252340768124;1
"Emp_CNAE_G.75";2003;0,88825507703604;-0,116602235078193;0,07898374069319;1
"Emp_CNAE_G.77";2003;0,944325617696569;-0,0410888917259528;0,0143757450112939;1
"Emp_CNAE_G.78";2003;0,926126616287608;-0,1124673185602;-0,035960174614865;1
"Emp_CNAE_G.79";2003;0,945566732825046;-0,0652012471223652;0,105467535074356;1
